Natural_language_description,Code1,Code2
convert unsigned decimal less bytes binary bash,"$ perl -e 'print pack ""I>"", shift' $(( RANDOM << 17 | RANDOM << 2 | RANDOM >> 13 ))
","x=1193046
printf ""$(printf ""\\%03o"" $((x>>24&255)) $((x>>16&255)) $((x>>8&255)) $((x&255)))""
"
ssh one server shows bash username,"export PS1=""[\u@\h \W]\$ ""
",None
long start time mc due bash function,"if [[ ""$(ps -o comm= -p $PPID)"" == ""mc"" ]]; then
  PS1=$'\n'$PS1
else
  function prompt_command {
    # get cursor position and add new line if we're not in first column
    echo -en ""\033[6n"" && read -sdR CURPOS
    [[ ${CURPOS##*;} -gt 1 ]] && echo ""$(tput setab 1)↵$prompt_reset""
  }
  PROMPT_COMMAND=prompt_command
fi
",None
bash completion functions come,"dpkg-divert --add --local --rename --divert /etc/bash_completion.d/git.dpkg-diverted /etc/bash_completion.d/git
",None
nest quotes bash commands,"if $(dmesg | grep -q ""Firmware patch 1563""); then
  # Do something here
fi
",None
creating symbolic link recursively,"root@xxxxxxvlp12 ~ $ find /tmp/parent -type d -maxdepth 1 -exec ln -s /tmp/hooks {} \;
root@xxxxxxvlp12 ~ $ find /tmp/parent -ls
2490378    4 drwxr-xr-x   6 root     root         4096 Oct  7 12:39 /tmp/parent
2490382    4 drwxr-xr-x   2 root     root         4096 Oct  7 12:39 /tmp/parent/subdir2
2490394    0 lrwxrwxrwx   1 root     root           10 Oct  7 12:39 /tmp/parent/subdir2/hooks -> /tmp/hooks
2490379    4 drwxr-xr-x   2 root     root         4096 Oct  7 12:39 /tmp/parent/subdir1
2490395    0 lrwxrwxrwx   1 root     root           10 Oct  7 12:39 /tmp/parent/subdir1/hooks -> /tmp/hooks
2490389    4 drwxr-xr-x   3 root     root         4096 Oct  7 12:39 /tmp/parent/subdir4
2490390    4 drwxr-xr-x   2 root     root         4096 Oct  7 12:38 /tmp/parent/subdir4/notme
2490396    0 lrwxrwxrwx   1 root     root           10 Oct  7 12:39 /tmp/parent/subdir4/hooks -> /tmp/hooks
2490387    4 drwxr-xr-x   2 root     root         4096 Oct  7 12:39 /tmp/parent/subdir3
2490397    0 lrwxrwxrwx   1 root     root           10 Oct  7 12:39 /tmp/parent/subdir3/hooks -> /tmp/hooks
2490391    0 lrwxrwxrwx   1 root     root           10 Oct  7 12:39 /tmp/parent/hooks -> /tmp/hooks
",None
bash syntax error near unexpected token everything looks like work,shopt -s extglob,None
create alias passes additional arguments,"myfunc () {
    /dir1/dir2/dir3/dir4/executable ""$1"" fixed-argv2 fixed-argv3
}
",None
bash builtin time accepts e going,"if (*s == 'R' || *s == 'E')
  len = mkfmt (ts, prec, lng, rs, rsf);
else if (*s == 'U')
  len = mkfmt (ts, prec, lng, us, usf);
else if (*s == 'S')
  len = mkfmt (ts, prec, lng, ss, ssf);
else
  {
    internal_error (_(""TIMEFORMAT: `%c': invalid format character""), *s);
    free (str);
    return;
  }
",None
howto adapt bash construct sh valid construct,"#!/bin/sh

bridge=""gbr0""
CSIF=""eth2""

echo Starting service bridge $bridge
brctl addbr $bridge || RETVAL=1
brctl stp $bridge on 
brctl setbridgeprio $bridge 65000

echo Adding CSIF $CSIF on $bridge
ifup $CSIF
brctl addif $bridge $CSIF ||  RETVAL=1
",None
write script updates text file,"for i in ${array1[@]};do echo -e ""PACKAGE NAME:$i "" >> MANIFEST2 && echo -e ""PACKAGE SIZE: `xz -l $i |tail -n 1|cut -d . -f 1|awk '{print $3, ""K""}'`"" >> PACKAGES.TXT




PACKAGE NAME:a/pam-1.1.8-x86_64-2mg.txz 
PACKAGE SIZE: 453 K
PACKAGE NAME:x/tvtime-1.0.2-x86_64-3_SBo.txz 
PACKAGE SIZE: 606 K
",None
control process gets cancelled ctrl c,"setsid -c <applcation>
",None
exclude one pattern glob match,"shopt -s extglob
echo rm foo.!(org)
",None
populate end tags using sed awk command,"sed 's/<\([^>]*\)>\(.*\)<$/<\1>\2<\/\1>/' input
","$ perl -pe 's/<(.+)>(.+)</<$1>$2<\/$1>/' file
<sss>ss</sss>
"
remove every number surrounded,"sed -i 's/\(<[^0-9>]*\)[0-9]*\([^0-9]*>\)/\1\2/g' filename
",None
bash pipe large amounts data,man 7 pipe,None
hide ouput bash running automated script,"(
   yum -y update

   service restart nginx

   yum install atop

   cat /var/log/somelog.log > /home/cron/php/script

) > /dev/null 2>&1
","exec 3>&1
exec 4>&2
exec 1>/dev/null
exec 2>/dev/null
./script-1
./script-2
...
./script-n
exec 1>&3
exec 2>&4
# delete the copies
exec 3>&-
exec 4>&-
"
mute system error message script file display mine,"#!/bin/bash

files=$(ls *.sh 2> /dev/null)

if [ -z ""$files"" ]
then
    echo ""No script files found. Exiting..""
    exit
fi

echo ""Moving all script files to script directory...""

for file in $files
do
    if ! mv $file $HOME/linux/scripts
    then
        echo ""Unable to move file $file""
    fi
done 
","#!/bin/bash

if ls *.sh &> /dev/null
then
  echo ""Moving all script files to script directory...""
  mv -v -n *.sh $HOME/linux/scripts
else
  echo ""No files with .sh suffix -- nothing to move""
fi
"
dialog display menu accepts acceptance started command substitution expression,"$ SELECTION=$( dialog --stdout \
    --backtitle ""Make a choice"" \
    --menu ""Take a pick"" \
    10 40 3 \
    choice1 ""First choice"" \
    choice2 ""Second choice"" \
)
",None
analyze report type data bash,"awk 'BEGIN { RS="""" } /\<test\>/ { print $40,$41,$42 }' file
Size: 944856 KB",None
deleting lines different patterns file,"sed '/paris\|london\|rome\|pais/Id' cities
","awk '{if(match(tolower($0),/(paris|london|rome)/)==0) print $0}' file > file
"
parse two files input loop,"while IFS= read -r -u3 l1 && IFS= read -r -u4 l2; do
    printf '%s is good in %s\n' ""$l1"" ""$l2""
done 3<file1 4<file2
",None
ps prompt showing different local remote console,"title_text='\u@\h: \w'
set_title=
case $TERM in
  dtterm|rxvt|[Ek]term|*xterm) set_title='\[\e]0;'""$title_text""'\a\]';;
  screen) set_title='\[\ek'""$title_text""'\e\\\]';;
esac
PS1=""$set_title$PS1""
",None
anyway get compreply output vertical list words instead single line,"_foo_complete() {
    local i file files
    files=( ~/work/dev/jobs/""$2""* )
    [[ -e ${files[0]} || -L ${files[0]} ]] || return 0
    if (( COMP_TYPE == 63 )); then
        for file in ""${files[@]}""; do
            printf -v 'COMPREPLY[i++]' '%*s' ""-$COLUMNS"" ""${file##*/}""
        done
    else
        COMPREPLY=( ""${files[@]##*/}"" )
    fi
}
complete -F _foo_complete foo
","_foo_complete() {
    # retrieve the original value
    local width=$(bind -v | sed -n 's/^set completion-display-width //p')

    if [[ $width -ne 0 ]]; then
        # change the readline variable
        bind ""set completion-display-width 0""

        # set up PROMPT_COMMAND to reset itself to its current value
        PROMPT_COMMAND=""PROMPT_COMMAND=$(printf %q ""$PROMPT_COMMAND"")""

        # set up PROMPT_COMMAND to reset the readline variable
        PROMPT_COMMAND+=""; bind 'set completion-display-width $width'""
    fi

    # whatever the function normally does follows
    COMPREPLY=(aa bb)
}
complete -F _foo_complete foo
"
make wget available without path,"export PATH=$PATH:/usr/custom/bin
",#!/bin/bash -i
run dialog command proccess,"#!/bin/bash

# this dialog will locate the tail box on the top of the screen
dialog --keep-window --begin 15 10  --tailboxbg  /var/log/syslog 13 125 \
       --and-widget  --begin 37 10  --tailbox    /var/log/dmesg  13 125
","dialog --keep-window --begin 0 0 --tailboxbg /var/log/process1.log 20 110 \
  --and-widget --keep-window --begin 0 120 --tailboxbg /var/log/process2.log 20 110 \
  --and-widget --begin 21 100 --msgbox ""Press Enter to exit."" 5 25
"
script list users logged hours,"w --from | awk 'NR < 3 {next;}; $4 ~ ""day"" {print $1; }' | sort -u
",None
clipboard bash,"bash --noediting
",xsel
removing mulitple extensions chrome,"#!/bin/bash

currentUser=`ls -l /dev/console | awk '{print $3}'`
exts=(""omghfjlpggmjjaagoclmmobgdodcjboh"" ""foofoobarbar"" ""barbarfofo"")

for extension in ""${exts[@]}"";
do
    if [ -d ""/Users/$currentUser/Library/Application Support/Google/Chrome/Default/Extensions/$extension"" ]; then
        rm -rf ""/Users/$currentUser/Library/Application Support/Google/Chrome/Default"" && killall ""Google Chrome""  && echo ""<result>Delete Browsec</result>""
    else
        echo ""<result>No</result>""
    fi
done
",None
generate networking configuration files using sed bash,"$ awk -F'.' '$1~""IPADDR""{$NF++;OFS="".""}1' file
DEVICE=eth0:1
NETMASK=255.255.255.0
IPADDR=10.2.7.149
BOOTPROTO=none
ONBOOT=yes
DNS1=10.2.53.150
PEERDNS=yes
DNS2=10.2.53.250
GATEWAY=10.2.7.1
TYPE=Ethernet
USERCTL=no
IPV6INIT=no
",None
store stdout variable send command background,"filename=/tmp/my.fifo
mkfifo $filename
node /var/.../app.js $torrent -r -q >$filename &
{ read first_line; read second_line; } <$filename

# do something with ""$first_line"" and ""$second_line""
","node /var/www/animekyun/node/node_modules/peerflix/app.js $torrent -r -q >file &
[...]
result=""$(<file)""
"
concurrency problems gnu parallel,"parallel -j3 --delay 1 ./sub_script ::: 20141001 20141002 20141003 20141004 20141005
",None
script systemd cgtop,"#!/bin/sh
#  How to check what tty you are on.
echo -ne ""Connected TTY: ""`tty`

line=$(systemd-cgtop -n1|grep ezdose)
echo $line
",None
print range ip addresses linux seq command,"$ seq -f ""10.20.30.%g"" 40 50
10.20.30.40
10.20.30.41
10.20.30.42
10.20.30.43
10.20.30.44
10.20.30.45
10.20.30.46
10.20.30.47
10.20.30.48
10.20.30.49
10.20.30.50
","$ prips 10.0.0.20 10.0.0.23
10.0.0.20
10.0.0.21
10.0.0.22
10.0.0.23

$ prips 10.0.0.0/23
10.0.0.0
10.0.0.1
10.0.0.2
<...>
10.0.1.254
10.0.1.255
"
variables use cd ing,cd ~/z/,None
run mysql scripts shell script bash variables,"#! bin/bash
selectvar=""SELECT * FROM test;""

mysql --user=root --password=mypass database << eof 
$selectvar
eof
","mysql mydb -e 'select * from foo'
"
command line macros comments using slurm,"#!/bin/sh
sbatch --time=5:00:00 --ntasks=""$1"" --mem-per-cpu=1024M <<'EOF'
#!/bin/sh
MyProgram.exe
EOF
",None
start process different tty,"setsid sh -c 'exec command <> /dev/tty2 >&0 2>&1'
","tmux send yourcommand ENTER
"
test unknown commands shell script,"read $command
""$command"" -rf /
",None
virtualbox list vrde port vm commandline,"$ vboxmanage showvminfo testvm | grep VRDE:
VRDE:            enabled (Address 0.0.0.0, Ports 3398, MultiConn: off, ReuseSingleConn: off, Authentication type: null)
",None
run bash script startup linux mint open mate terminal automatically,"#!/bin/bash

# Adds RVM to needed paths to start servers with needed Ruby version
PATH=$PATH:$HOME/.rvm/bin
[[ -s ""$HOME/.rvm/scripts/rvm"" ]] && source ""$HOME/.rvm/scripts/rvm""

# I need this server to run in background
startLocalRedmineServer()(
cd /home/adminuser/ruby_projects/redmine/
rails server webrick -e production --port 3001
)

# I need this to be done in background also
proxyLocalRedmineServer()(
proxylocal 3001 --host=mylocalredmine
)

# This thing should open mate-terminal, run start server, so that I can see real time logs, and stay on the screen in case I need it to be restarted
startOtherLocalServer()(
mate-terminal -e ""bash -c 'cd /home/adminuser/ruby_projects/project_abc/';'rails s';'exec /bin/bash'""
)

# This thing should open mate-terminal and start proxying + remain opened
proxyOther()(
mate-terminal -e ""bash -c 'proxylocal 3000 --host=projectabc'; 'exec /bin/bash'""
)

startLocalRedmineServer &
proxyLocalRedmineServer &
startOtherLocalServer &
proxyOther &
wait
",None
awk print lines first line match word,"$ awk '1;/PPP/{exit}' file
AAA
BBB
JJJ
OOO
345
211
BBB
OOO
OOO
PPP
",None
append human readable timestamp last edit filename,"EXT=${FILE#*.}
NAME=${FILE%%.*}

mv ""$FILE"" ""$NAME$(date --reference ""$FILE"" '+%Y%m%dT%H%M').$EXT""
","for i in *; do 
   fileTime=$(stat -c %Y ""$i"");  #Get last modification (since EPOCH)
   formatDate=$(date +%Y%m%dT%H%m -d @""$fileTime""); #Get time in format YYYYMMDDTHHmm
   mv ""${i%%.*}""_""$formatDate"".""${i#*.}""; #Appends ""formatDate"" before extension
done
"
shell glob expansion loop variable substitution,"#!/bin/bash

for i in a b c
do
    set -f
    Z=$i/*.txt
    echo $Z
    set +f
    echo
    echo ""Does it expand?""
    echo $Z
done
",None
bash assign value,"#!/usr/bin/bash
kill9=""9""
kill15=""15""

if [ $1 = ""-$kill9""  ]; then
  set -- ""$kill9""
else
  set -- ""$kill15""
fi

echo $1
","#!/usr/bin/bash
kill9=""9""
kill15=""15""

if [ $1 -eq $kill9 ]
then
set ""9"" 
else
set ""15""
fi

echo $1
"
bash history current session,"history -a ~/current_history
",None
long generating bash prompt wraps incorrectly start typing,"PROMPT_COMMAND=""PS1=\$(stty -echo)\`/home/username/my-prompt.sh\`\$(stty echo)""
","stty sane  # I hope it'll help and bring back the working of default prompt.
"
associate exstension program works tab complete,"complete -f -X '!*.tex' texmaker
",None
escape quotes json conversion bash,"$ printf '{""log"": ""'; printf '%s\\n' $(<file); printf '""}\n'
{""log"": ""1\n2\n'\n3\n4\n""}
",None
use netrw nerdtree zsh bash select file browsing,"function insert_files() {
    vifm -f < /dev/tty > /dev/tty

    while read l; do
        LBUFFER+=""'$l' ""
    done < ~/.vifm/vimfiles

    zle reset-prompt
}
zle -N insert_files
bindkey '^t' insert_files
",None
script replace symbolic links target point another target directory,"shopt -s globstar
for file in c1/** d1/**; do
    if [[ -h ""$file"" ]]; then
        if [[ ""$(readlink -f ""$file"")"" == ""$(realpath a/b/original-target)"" ]]; then
            ln -sf ""$(dirname ""$(readlink ""$file"")"")""/new-target ""$(dirname ""$file"")"" && rm -f ""$file""
        fi
    fi
done
",None
evaluation expression rounding three decimals,"$ echo 'print(round(' ""5+50*3/20 + (19*2)/7"" ', 3))' | python3
17.929
","read exp
printf %.3f $(echo ""$exp"" | bc -l)
"
inner loop conditions shall depend outer loop run,"#!/bin/bash

declare -A numbers    # declare associative array
printf -v numbers[2004] ""%s "" {625..721}
printf -v numbers[2005] ""%s "" {723..823}

for year in 2004 2005
do
  for number in ${numbers[$year]}
  do
    echo ""$year $number""
  done
done
",None
conditionally pass subshell time,"shopt -s expand_aliases
alias time_or_not=
TIMEFORMAT=%E

MEASURE_TIME=true
[[ $MEASURE_TIME = true ]] && alias time_or_not=time

time_or_not (apt-get update > /tmp/last.log 2>&1)
",None
tmux ignores configuration files,tmux -2,None
bash arithmetic work,"echo `expr ""$num1"" + ""$num2""`
",None
looping command without waiting first run,"while mysql -e 'show processlist' && sleep 60; do :; done
","trap ""pkill -TERM -P $$"" SIGINT

while [ 1 ]; do
   mysql -e 'show processlist'
   sleep 60
done
"
count number occurrences number larger x every column,"awk '{for(i=2;i<=NF;i++){if(NR==1)h[i]=$i;else if($i>0.1)x[i]++}}END{for(i in x){print h[i]"": ""x[i]}}'
",None
bash globs non file arguments example apt get remove pkg,dpkg -l pkg-\*,None
setting environment variables gnome wayland session,"WAY=$(ps -aux | head -n -1 | grep ""/usr/bin/gnome-shell --wayland"")

if [ -z ""$WAY"" ]; then
    echo X11
else
    export GDK_BACKEND=wayland
    export CLUTTER_BACKEND=wayland
fi
",None
selectively record commands output terminal mysql table,"#!/bin/bash


echo -en 'Paste your multiline content and ^D to submit >>> '
content=""$(cat)""
echo ""$content""
",None
iterate file send lines positional parameters another file,"while read -d $'\n' i; do echo $i;done <./dates

while read -d $'\n' i; do . the_script $i;done <./dates
","xargs -a dates.txt -rL1 the_script
"
killing bash causes respawn,"pstree -ps 3711
init(1)───mdm(1405)───mdm(1431)───cinnamon-sessio(1935)───nemo(2488)───bash(3711)
",None
execute command another terminal closing without killing command,"gnome-terminal -e ""nohup bash gedit""",None
xterm bash word wrap even tho window large fit command,"set horizontal-scroll-mode on
",None
two words argument shell script,"./script.sh 121212 ""Jan 14"" 00 12
",None
get sftp ubuntu working try fix reinstall,":<<COMMENT
  SFTP breaks if any thing is output to the shell, and it doesn't need
  anything in .bashrc anyway.

  Description of the following line of code: ""If file descriptor 0, or 
  'the input' is connected to a terminal, which is true when you do: 
     ssh yourhost 
  but not when you do:
     ssh yourhost bash -s < script # here it's connected to 'script', a file""

  See
  - https://serverfault.com/questions/485487/use-bashrc-without-breaking-sftp
  - http://www.openssh.com/faq.html#2.9
COMMENT
[ -t 0 ] || return
",None
